N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
5,8,128,0.0625,1,0,0.000744048,1344,0.0178726,0.055208,14.6715,0.000448,14.7272,Mon Jul 22 15:32:46 2019
5,8,128,0.125,1,0,0.0014881,672,0.0178726,0.006405,7.2575,0.000372,7.26428,Mon Jul 22 15:33:05 2019
3,8,128,0.125,1,0,0.003125,320,0.0366212,0.053857,1.15291,0.000143,1.20691,Mon Jul 22 16:57:42 2019
5,8,128,0.125,1,0,0.0014881,672,0.00313593,0.005604,7.82724,0.000397,7.83324,Mon Jul 22 16:57:52 2019
3,16,512,0.125,1,0,0.0015625,640,0.00232469,0.010858,9.15883,0.000597,9.17029,Mon Jul 22 16:58:18 2019
3,16,512,0.125,0.25,0,0.0015625,160,0.00198064,0.011218,2.27391,0.000605,2.28573,Mon Jul 22 16:58:56 2019
5,16,512,0.125,0.25,0,0.000744048,336,5.64926e-05,0.013973,17.8612,0.001758,17.8769,Mon Jul 22 17:00:21 2019
