N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
3,4,32,0.125,0.5,0.1,0.00625,80,0.2923,0.321683,0.014956,0.019681,0.35632,Mon Jul 22 22:07:55 2019
3,4,32,0.125,0.75,0.1,0.00625,120,0.300783,0.054876,0.022691,0.002177,0.079744,Mon Jul 22 22:07:56 2019
3,4,32,0.125,1,0.1,0.00625,160,0.318188,0.05701,0.046141,0.024063,0.127214,Mon Jul 22 22:07:56 2019
3,8,128,0.125,0.5,0.1,0.003125,160,0.0433926,0.096615,0.051132,0.026087,0.173834,Mon Jul 22 22:07:56 2019
3,8,128,0.125,0.75,0.1,0.003125,240,0.0497945,0.095542,0.086204,0.02702,0.208766,Mon Jul 22 22:07:57 2019
3,8,128,0.125,1,0.1,0.003125,320,0.0520735,0.062692,0.070894,0.024999,0.158585,Mon Jul 22 22:07:57 2019
3,12,288,0.125,0.5,0.1,0.00208333,240,0.0114551,0.101224,0.1504,0.042677,0.294301,Mon Jul 22 22:07:58 2019
3,12,288,0.125,0.75,0.1,0.00208333,360,0.012878,0.100626,0.245388,0.043306,0.38932,Mon Jul 22 22:07:59 2019
3,12,288,0.125,1,0.1,0.00208333,480,0.0130977,0.072841,0.205107,0.041171,0.319119,Mon Jul 22 22:08:00 2019
3,16,512,0.125,0.5,0.1,0.0015625,320,0.00504451,0.112641,0.313972,0.061345,0.487958,Mon Jul 22 22:08:01 2019
3,16,512,0.125,0.75,0.1,0.0015625,480,0.0057094,0.116065,0.500323,0.034379,0.650767,Mon Jul 22 22:08:02 2019
3,16,512,0.125,1,0.1,0.0015625,640,0.00579008,0.091072,0.626685,0.06211,0.779867,Mon Jul 22 22:08:04 2019
3,20,800,0.125,0.5,0.1,0.00125,400,0.00223337,0.13194,0.372071,0.045317,0.549328,Mon Jul 22 22:08:05 2019
3,20,800,0.125,0.75,0.1,0.00125,600,0.00244899,0.135359,0.835325,0.082336,1.05302,Mon Jul 22 22:08:07 2019
3,20,800,0.125,1,0.1,0.00125,800,0.00246683,0.133043,0.950687,0.085591,1.16932,Mon Jul 22 22:08:10 2019
3,24,1152,0.125,0.5,0.1,0.00104167,480,0.00103973,0.160956,0.920465,0.119502,1.20092,Mon Jul 22 22:08:12 2019
3,24,1152,0.125,0.75,0.1,0.00104167,720,0.00109223,0.16266,1.22168,0.123381,1.50772,Mon Jul 22 22:08:15 2019
3,24,1152,0.125,1,0.1,0.00104167,960,0.00111694,0.164438,1.69674,0.120033,1.98121,Mon Jul 22 22:08:19 2019
