N,K1D,K,CFL,Final Time,Curve cofficient,dt,Nsteps,L2 Error,Setup Time,Iteration Time,L2 Error time,Total Time,Finished Time
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.098426,3.58328,0.000362,3.68207,Sun Jul 21 00:17:09 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.024916,3.64556,0.000399,3.67087,Sun Jul 21 00:17:16 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.02809,3.59478,0.000328,3.62319,Sun Jul 21 00:17:21 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,0.0102322,0.09703,3.61524,0.000347,3.71262,Sun Jul 21 00:24:45 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,4.54037e-12,0.10345,3.56291,0.000342,3.6667,Mon Jul 22 14:21:49 2019
7,16,512,0.125,0.5,0.1,0.000434028,1152,6.97903e-11,0.342067,146.429,0.00207,146.773,Mon Jul 22 14:29:04 2019
5,8,128,0.125,0.5,0,0.0014881,336,4.44452e-12,0.101084,3.59918,0.000286,3.70055,Mon Jul 22 14:36:55 2019
5,8,128,0.125,0.5,0.1,0.0014881,336,4.54037e-12,0.028522,3.57334,0.000506,3.60237,Mon Jul 22 14:37:12 2019
5,8,128,0.125,0.5,0,0.0014881,336,0.0159958,0.097603,3.55191,0.000393,3.64991,Mon Jul 22 14:37:44 2019
5,8,128,0.125,0.5,0,0.0014881,336,0.0159958,0.029645,3.51248,0.00033,3.54245,Mon Jul 22 14:37:51 2019
5,16,512,0.125,0.5,0,0.000744048,672,0.0120265,0.092379,29.1109,0.001381,29.2047,Mon Jul 22 14:40:31 2019
5,20,800,0.125,0.5,0,0.000595238,840,0.0113592,0.138252,56.4825,0.0024,56.6231,Mon Jul 22 15:01:45 2019
5,8,128,0.125,1,0,0.0014881,672,0.00313593,0.024597,7.4737,0.000398,7.4987,Mon Jul 22 17:02:20 2019
2,4,32,0.125,1,0,0.0104167,96,nan,0.075899,0.031326,3.7e-05,0.107262,Wed Jul 24 17:32:10 2019
3,4,32,0.125,1,0,0.00625,160,0.299548,0.073582,0.130741,4.5e-05,0.204368,Wed Jul 24 17:32:22 2019
2,8,128,0.125,1,0,0.00520833,192,nan,0.006302,0.226259,9.8e-05,0.232659,Wed Jul 24 17:40:55 2019
4,8,128,0.125,1,0,0.00208333,480,nan,0.084893,2.51048,0.00022,2.59559,Wed Jul 24 17:41:03 2019
2,4,32,0.125,0.5,0.1,0.0104167,48,1.31071,0.003561,0.016049,4.3e-05,0.019653,Wed Jul 24 17:41:22 2019
2,8,128,0.125,0.5,0.1,0.00520833,96,nan,0.005468,0.118162,9.7e-05,0.123727,Wed Jul 24 17:41:38 2019
